N, WxH, Clock, Param0
0, 16x16, 15213, 0
0, 16x16, 15430, 0
0, 16x16, 21700, 0
0, 16x16, 14472, 0
0, 16x16, 14530, 0
0, 16x16, 21674, 0
0, 16x16, 15282, 0
0, 16x16, 14596, 0
0, 16x16, 25439, 0
0, 16x16, 23011, 0
0, 16x16, 14689, 0
0, 16x16, 14576, 0
0, 16x16, 22606, 0
0, 16x16, 14709, 0
0, 16x16, 14299, 0
0, 16x16, 14665, 0
0, 16x16, 15036, 0
0, 16x16, 14565, 0
0, 16x16, 14683, 0
0, 16x16, 14675, 0
0, 16x16, 14688, 0
0, 16x16, 14726, 0
0, 16x16, 14871, 0
0, 16x16, 14498, 0
0, 16x16, 14406, 0
0, 16x16, 14432, 0
0, 16x16, 22346, 0
0, 16x16, 15763, 0
0, 16x16, 14617, 0
0, 16x16, 14628, 0
0, 16x16, 14787, 0
0, 16x16, 20624, 0
0, 16x16, 15221, 0
0, 16x16, 14750, 0
0, 16x16, 14564, 0
0, 16x16, 14145, 0
0, 16x16, 15074, 0
0, 16x16, 14686, 0
0, 16x16, 14463, 0
0, 16x16, 14290, 0
0, 16x16, 15062, 0
0, 16x16, 14865, 0
0, 16x16, 14912, 0
0, 16x16, 14559, 0
0, 16x16, 15183, 0
0, 16x16, 14798, 0
0, 16x16, 14478, 0
0, 16x16, 15190, 0
0, 16x16, 14749, 0
0, 16x16, 15062, 0
0, 16x16, 14712, 0
0, 16x16, 14712, 0
0, 16x16, 15273, 0
0, 16x16, 21697, 0
0, 16x16, 21539, 0
0, 16x16, 21449, 0
0, 16x16, 14182, 0
0, 16x16, 15250, 0
0, 16x16, 14822, 0
0, 16x16, 23828, 0
0, 16x16, 14764, 0
0, 16x16, 22059, 0
0, 16x16, 15494, 0
0, 16x16, 14541, 0
0, 16x16, 15155, 0
0, 16x16, 25297, 0
0, 16x16, 14692, 0
0, 16x16, 14926, 0
0, 16x16, 15149, 0
0, 16x16, 14877, 0
0, 16x16, 14764, 0
0, 16x16, 22542, 0
0, 16x16, 14399, 0
0, 16x16, 14342, 0
0, 16x16, 14637, 0
0, 16x16, 14839, 0
0, 16x16, 14700, 0
0, 16x16, 14698, 0
0, 16x16, 15847, 0
0, 16x16, 14555, 0
0, 16x16, 15864, 0
0, 16x16, 22123, 0
0, 16x16, 14400, 0
0, 16x16, 14475, 0
0, 16x16, 55920, 0
0, 16x16, 15279, 0
0, 16x16, 14512, 0
0, 16x16, 14898, 0
0, 16x16, 14487, 0
0, 16x16, 14856, 0
0, 16x16, 14205, 0
0, 16x16, 21631, 0
0, 16x16, 14695, 0
0, 16x16, 14538, 0
0, 16x16, 15754, 0
0, 16x16, 15073, 0
0, 16x16, 79284, 0
0, 16x16, 15583, 0
0, 16x16, 14249, 0
0, 16x16, 14312, 0
1, 16x16, 14336, 0
1, 16x16, 25448, 0
1, 16x16, 15412, 0
1, 16x16, 21793, 0
1, 16x16, 15401, 0
1, 16x16, 16151, 0
1, 16x16, 14503, 0
1, 16x16, 14428, 0
1, 16x16, 15013, 0
1, 16x16, 14240, 0
1, 16x16, 21472, 0
1, 16x16, 21107, 0
1, 16x16, 21581, 0
1, 16x16, 14324, 0
1, 16x16, 14545, 0
1, 16x16, 21579, 0
1, 16x16, 56953, 0
1, 16x16, 14706, 0
1, 16x16, 14709, 0
1, 16x16, 15332, 0
1, 16x16, 14996, 0
1, 16x16, 24140, 0
1, 16x16, 13977, 0
1, 16x16, 14333, 0
1, 16x16, 14475, 0
1, 16x16, 14504, 0
1, 16x16, 14269, 0
1, 16x16, 14333, 0
1, 16x16, 14461, 0
1, 16x16, 15149, 0
1, 16x16, 14787, 0
1, 16x16, 13939, 0
1, 16x16, 14735, 0
1, 16x16, 24204, 0
1, 16x16, 14715, 0
1, 16x16, 22106, 0
1, 16x16, 14735, 0
1, 16x16, 15250, 0
1, 16x16, 14350, 0
1, 16x16, 14605, 0
1, 16x16, 14133, 0
1, 16x16, 14775, 0
1, 16x16, 14472, 0
1, 16x16, 22007, 0
1, 16x16, 14918, 0
1, 16x16, 15392, 0
1, 16x16, 15557, 0
1, 16x16, 14495, 0
1, 16x16, 14246, 0
1, 16x16, 21298, 0
1, 16x16, 14223, 0
1, 16x16, 14764, 0
1, 16x16, 14446, 0
1, 16x16, 14559, 0
1, 16x16, 14547, 0
1, 16x16, 14851, 0
1, 16x16, 25216, 0
1, 16x16, 15039, 0
1, 16x16, 14749, 0
1, 16x16, 14451, 0
1, 16x16, 14290, 0
1, 16x16, 22745, 0
1, 16x16, 14347, 0
1, 16x16, 14796, 0
1, 16x16, 21342, 0
1, 16x16, 21440, 0
1, 16x16, 14191, 0
1, 16x16, 14469, 0
1, 16x16, 14629, 0
1, 16x16, 15149, 0
1, 16x16, 14616, 0
1, 16x16, 14549, 0
1, 16x16, 25691, 0
1, 16x16, 14399, 0
1, 16x16, 21394, 0
1, 16x16, 14744, 0
1, 16x16, 14454, 0
1, 16x16, 14451, 0
1, 16x16, 22684, 0
1, 16x16, 14530, 0
1, 16x16, 14437, 0
1, 16x16, 14964, 0
1, 16x16, 14636, 0
1, 16x16, 15520, 0
1, 16x16, 15079, 0
1, 16x16, 14460, 0
1, 16x16, 59036, 0
1, 16x16, 14646, 0
1, 16x16, 14483, 0
1, 16x16, 14318, 0
1, 16x16, 14515, 0
1, 16x16, 14315, 0
1, 16x16, 14145, 0
1, 16x16, 14388, 0
1, 16x16, 15018, 0
1, 16x16, 13925, 0
1, 16x16, 14249, 0
1, 16x16, 14590, 0
1, 16x16, 14594, 0
1, 16x16, 15065, 0
2, 32x32, 34430, 0
2, 32x32, 35056, 0
2, 32x32, 33742, 0
2, 32x32, 34066, 0
2, 32x32, 34155, 0
2, 32x32, 34289, 0
2, 32x32, 34118, 0
2, 32x32, 34161, 0
2, 32x32, 34140, 0
2, 32x32, 34809, 0
2, 32x32, 34164, 0
2, 32x32, 34923, 0
2, 32x32, 34389, 0
2, 32x32, 34381, 0
2, 32x32, 34019, 0
2, 32x32, 34503, 0
2, 32x32, 34100, 0
2, 32x32, 42411, 0
2, 32x32, 41259, 0
2, 32x32, 34526, 0
2, 32x32, 34439, 0
2, 32x32, 34841, 0
2, 32x32, 34231, 0
2, 32x32, 34612, 0
2, 32x32, 34109, 0
2, 32x32, 41100, 0
2, 32x32, 36158, 0
2, 32x32, 35157, 0
2, 32x32, 34427, 0
2, 32x32, 34972, 0
2, 32x32, 34121, 0
2, 32x32, 34804, 0
2, 32x32, 34211, 0
2, 32x32, 34123, 0
2, 32x32, 41786, 0
2, 32x32, 34621, 0
2, 32x32, 34766, 0
2, 32x32, 34115, 0
2, 32x32, 35258, 0
2, 32x32, 34312, 0
2, 32x32, 34167, 0
2, 32x32, 41945, 0
2, 32x32, 34213, 0
2, 32x32, 35217, 0
2, 32x32, 34543, 0
2, 32x32, 34923, 0
2, 32x32, 34668, 0
2, 32x32, 34263, 0
2, 32x32, 34071, 0
2, 32x32, 34595, 0
2, 32x32, 34725, 0
2, 32x32, 34517, 0
2, 32x32, 34358, 0
2, 32x32, 33305, 0
2, 32x32, 34763, 0
2, 32x32, 36013, 0
2, 32x32, 34448, 0
2, 32x32, 34418, 0
2, 32x32, 34143, 0
2, 32x32, 34323, 0
2, 32x32, 41670, 0
2, 32x32, 46046, 0
2, 32x32, 34360, 0
2, 32x32, 34630, 0
2, 32x32, 41318, 0
2, 32x32, 34928, 0
2, 32x32, 35535, 0
2, 32x32, 34011, 0
2, 32x32, 34396, 0
2, 32x32, 75670, 0
2, 32x32, 34187, 0
2, 32x32, 34772, 0
2, 32x32, 34413, 0
2, 32x32, 34005, 0
2, 32x32, 34358, 0
2, 32x32, 34202, 0
2, 32x32, 34728, 0
2, 32x32, 33900, 0
2, 32x32, 35258, 0
2, 32x32, 33984, 0
2, 32x32, 34141, 0
2, 32x32, 33814, 0
2, 32x32, 34256, 0
2, 32x32, 33979, 0
2, 32x32, 34867, 0
2, 32x32, 75507, 0
2, 32x32, 40956, 0
2, 32x32, 34216, 0
2, 32x32, 34589, 0
2, 32x32, 41083, 0
2, 32x32, 34601, 0
2, 32x32, 34607, 0
2, 32x32, 45091, 0
2, 32x32, 33719, 0
2, 32x32, 34728, 0
2, 32x32, 34544, 0
2, 32x32, 34413, 0
2, 32x32, 34265, 0
2, 32x32, 34317, 0
2, 32x32, 41124, 0
3, 48x48, 79443, 0
3, 48x48, 74729, 0
3, 48x48, 77397, 0
3, 48x48, 68600, 0
3, 48x48, 75007, 0
3, 48x48, 75776, 0
3, 48x48, 68403, 0
3, 48x48, 67926, 0
3, 48x48, 76341, 0
3, 48x48, 69369, 0
3, 48x48, 67854, 0
3, 48x48, 79394, 0
3, 48x48, 68507, 0
3, 48x48, 68687, 0
3, 48x48, 69683, 0
3, 48x48, 68892, 0
3, 48x48, 68490, 0
3, 48x48, 68206, 0
3, 48x48, 75270, 0
3, 48x48, 67908, 0
3, 48x48, 67952, 0
3, 48x48, 74532, 0
3, 48x48, 67839, 0
3, 48x48, 78882, 0
3, 48x48, 68453, 0
3, 48x48, 69433, 0
3, 48x48, 75554, 0
3, 48x48, 123993, 0
3, 48x48, 68062, 0
3, 48x48, 113783, 0
3, 48x48, 68221, 0
3, 48x48, 68699, 0
3, 48x48, 75936, 0
3, 48x48, 69312, 0
3, 48x48, 68531, 0
3, 48x48, 75508, 0
3, 48x48, 67961, 0
3, 48x48, 67711, 0
3, 48x48, 68359, 0
3, 48x48, 68262, 0
3, 48x48, 77377, 0
3, 48x48, 74714, 0
3, 48x48, 77600, 0
3, 48x48, 67729, 0
3, 48x48, 68166, 0
3, 48x48, 69277, 0
3, 48x48, 68414, 0
3, 48x48, 68924, 0
3, 48x48, 68837, 0
3, 48x48, 114386, 0
3, 48x48, 70724, 0
3, 48x48, 76512, 0
3, 48x48, 70195, 0
3, 48x48, 67960, 0
3, 48x48, 68319, 0
3, 48x48, 75744, 0
3, 48x48, 68079, 0
3, 48x48, 68979, 0
3, 48x48, 74914, 0
3, 48x48, 68435, 0
3, 48x48, 68166, 0
3, 48x48, 68019, 0
3, 48x48, 76401, 0
3, 48x48, 68137, 0
3, 48x48, 69063, 0
3, 48x48, 75524, 0
3, 48x48, 78743, 0
3, 48x48, 67856, 0
3, 48x48, 68094, 0
3, 48x48, 68803, 0
3, 48x48, 68250, 0
3, 48x48, 137475, 0
3, 48x48, 68192, 0
3, 48x48, 68841, 0
3, 48x48, 77325, 0
3, 48x48, 108650, 0
3, 48x48, 68316, 0
3, 48x48, 76518, 0
3, 48x48, 67917, 0
3, 48x48, 67873, 0
3, 48x48, 69017, 0
3, 48x48, 67879, 0
3, 48x48, 109295, 0
3, 48x48, 68710, 0
3, 48x48, 68030, 0
3, 48x48, 67966, 0
3, 48x48, 68013, 0
3, 48x48, 68308, 0
3, 48x48, 68684, 0
3, 48x48, 68398, 0
3, 48x48, 336976, 0
3, 48x48, 68554, 0
3, 48x48, 111101, 0
3, 48x48, 67937, 0
3, 48x48, 69592, 0
3, 48x48, 68751, 0
3, 48x48, 67844, 0
3, 48x48, 74648, 0
3, 48x48, 69022, 0
3, 48x48, 68501, 0
4, 64x64, 115765, 0
4, 64x64, 116573, 0
4, 64x64, 115506, 0
4, 64x64, 116909, 0
4, 64x64, 124705, 0
4, 64x64, 159823, 0
4, 64x64, 115251, 0
4, 64x64, 123600, 0
4, 64x64, 160643, 0
4, 64x64, 116851, 0
4, 64x64, 115833, 0
4, 64x64, 122476, 0
4, 64x64, 116203, 0
4, 64x64, 115575, 0
4, 64x64, 115761, 0
4, 64x64, 122939, 0
4, 64x64, 115986, 0
4, 64x64, 115612, 0
4, 64x64, 125706, 0
4, 64x64, 115644, 0
4, 64x64, 115890, 0
4, 64x64, 115905, 0
4, 64x64, 116339, 0
4, 64x64, 115644, 0
4, 64x64, 115977, 0
4, 64x64, 123229, 0
4, 64x64, 116189, 0
4, 64x64, 122931, 0
4, 64x64, 115694, 0
4, 64x64, 151475, 0
4, 64x64, 115682, 0
4, 64x64, 115549, 0
4, 64x64, 115416, 0
4, 64x64, 115358, 0
4, 64x64, 116455, 0
4, 64x64, 116061, 0
4, 64x64, 115943, 0
4, 64x64, 115783, 0
4, 64x64, 115537, 0
4, 64x64, 115940, 0
4, 64x64, 115690, 0
4, 64x64, 159274, 0
4, 64x64, 115702, 0
4, 64x64, 115919, 0
4, 64x64, 115598, 0
4, 64x64, 116929, 0
4, 64x64, 116272, 0
4, 64x64, 116055, 0
4, 64x64, 128385, 0
4, 64x64, 172293, 0
4, 64x64, 115364, 0
4, 64x64, 116281, 0
4, 64x64, 116721, 0
4, 64x64, 116674, 0
4, 64x64, 123469, 0
4, 64x64, 115222, 0
4, 64x64, 116747, 0
4, 64x64, 390456, 0
4, 64x64, 127631, 0
4, 64x64, 125581, 0
4, 64x64, 116321, 0
4, 64x64, 126181, 0
4, 64x64, 115867, 0
4, 64x64, 115839, 0
4, 64x64, 125772, 0
4, 64x64, 123119, 0
4, 64x64, 124057, 0
4, 64x64, 115578, 0
4, 64x64, 115732, 0
4, 64x64, 115647, 0
4, 64x64, 122931, 0
4, 64x64, 122648, 0
4, 64x64, 115508, 0
4, 64x64, 115622, 0
4, 64x64, 115734, 0
4, 64x64, 159115, 0
4, 64x64, 116232, 0
4, 64x64, 126852, 0
4, 64x64, 126762, 0
4, 64x64, 116464, 0
4, 64x64, 115583, 0
4, 64x64, 115986, 0
4, 64x64, 116214, 0
4, 64x64, 159028, 0
4, 64x64, 122989, 0
4, 64x64, 122896, 0
4, 64x64, 115658, 0
4, 64x64, 116163, 0
4, 64x64, 115595, 0
4, 64x64, 115647, 0
4, 64x64, 115966, 0
4, 64x64, 115651, 0
4, 64x64, 157390, 0
4, 64x64, 115824, 0
4, 64x64, 115641, 0
4, 64x64, 122998, 0
4, 64x64, 123064, 0
4, 64x64, 124077, 0
4, 64x64, 115717, 0
4, 64x64, 121418, 0
5, 80x80, 219005, 0
5, 80x80, 177580, 0
5, 80x80, 183909, 0
5, 80x80, 177398, 0
5, 80x80, 189702, 0
5, 80x80, 177198, 0
5, 80x80, 177982, 0
5, 80x80, 184519, 0
5, 80x80, 184479, 0
5, 80x80, 177433, 0
5, 80x80, 177838, 0
5, 80x80, 177739, 0
5, 80x80, 184346, 0
5, 80x80, 178121, 0
5, 80x80, 179504, 0
5, 80x80, 177375, 0
5, 80x80, 178469, 0
5, 80x80, 412769, 0
5, 80x80, 178089, 0
5, 80x80, 177186, 0
5, 80x80, 183474, 0
5, 80x80, 177826, 0
5, 80x80, 226864, 0
5, 80x80, 185136, 0
5, 80x80, 176874, 0
5, 80x80, 186308, 0
5, 80x80, 166129, 0
5, 80x80, 178390, 0
5, 80x80, 177774, 0
5, 80x80, 273477, 0
5, 80x80, 216348, 0
5, 80x80, 178370, 0
5, 80x80, 177734, 0
5, 80x80, 188857, 0
5, 80x80, 177346, 0
5, 80x80, 177653, 0
5, 80x80, 178103, 0
5, 80x80, 177771, 0
5, 80x80, 220680, 0
5, 80x80, 177609, 0
5, 80x80, 108717, 0
5, 80x80, 177444, 0
5, 80x80, 177317, 0
5, 80x80, 188611, 0
5, 80x80, 180404, 0
5, 80x80, 177380, 0
5, 80x80, 219560, 0
5, 80x80, 177620, 0
5, 80x80, 223903, 0
5, 80x80, 177387, 0
5, 80x80, 176914, 0
5, 80x80, 222255, 0
5, 80x80, 178413, 0
5, 80x80, 184800, 0
5, 80x80, 185017, 0
5, 80x80, 178813, 0
5, 80x80, 182186, 0
5, 80x80, 232395, 0
5, 80x80, 183764, 0
5, 80x80, 177412, 0
5, 80x80, 189366, 0
5, 80x80, 177442, 0
5, 80x80, 177673, 0
5, 80x80, 183947, 0
5, 80x80, 177748, 0
5, 80x80, 177843, 0
5, 80x80, 177366, 0
5, 80x80, 464212, 0
5, 80x80, 179924, 0
5, 80x80, 239591, 0
5, 80x80, 178257, 0
5, 80x80, 320088, 0
5, 80x80, 178214, 0
5, 80x80, 223921, 0
5, 80x80, 177389, 0
5, 80x80, 184928, 0
5, 80x80, 184725, 0
5, 80x80, 177279, 0
5, 80x80, 177496, 0
5, 80x80, 178286, 0
5, 80x80, 184056, 0
5, 80x80, 178083, 0
5, 80x80, 186941, 0
5, 80x80, 188857, 0
5, 80x80, 177594, 0
5, 80x80, 178083, 0
5, 80x80, 177464, 0
5, 80x80, 179933, 0
5, 80x80, 185529, 0
5, 80x80, 177424, 0
5, 80x80, 557719, 0
5, 80x80, 185061, 0
5, 80x80, 180563, 0
5, 80x80, 219552, 0
5, 80x80, 183839, 0
5, 80x80, 178246, 0
5, 80x80, 181221, 0
5, 80x80, 183850, 0
5, 80x80, 176839, 0
5, 80x80, 230852, 0
6, 96x96, 257738, 0
6, 96x96, 649010, 0
6, 96x96, 424964, 0
6, 96x96, 259248, 0
6, 96x96, 256910, 0
6, 96x96, 258141, 0
6, 96x96, 265511, 0
6, 96x96, 258493, 0
6, 96x96, 266909, 0
6, 96x96, 261951, 0
6, 96x96, 268367, 0
6, 96x96, 258511, 0
6, 96x96, 258308, 0
6, 96x96, 274638, 0
6, 96x96, 260907, 0
6, 96x96, 258710, 0
6, 96x96, 258459, 0
6, 96x96, 266324, 0
6, 96x96, 258629, 0
6, 96x96, 266113, 0
6, 96x96, 322260, 0
6, 96x96, 268772, 0
6, 96x96, 259150, 0
6, 96x96, 274618, 0
6, 96x96, 257535, 0
6, 96x96, 399484, 0
6, 96x96, 258669, 0
6, 96x96, 324029, 0
6, 96x96, 275526, 0
6, 96x96, 259022, 0
6, 96x96, 258904, 0
6, 96x96, 259127, 0
6, 96x96, 264894, 0
6, 96x96, 303758, 0
6, 96x96, 301524, 0
6, 96x96, 259480, 0
6, 96x96, 272582, 0
6, 96x96, 220243, 0
6, 96x96, 259813, 0
6, 96x96, 300429, 0
6, 96x96, 258664, 0
6, 96x96, 257089, 0
6, 96x96, 266130, 0
6, 96x96, 259966, 0
6, 96x96, 258218, 0
6, 96x96, 257506, 0
6, 96x96, 257472, 0
6, 96x96, 299165, 0
6, 96x96, 302331, 0
6, 96x96, 259396, 0
6, 96x96, 258198, 0
6, 96x96, 259101, 0
6, 96x96, 264990, 0
6, 96x96, 258363, 0
6, 96x96, 307647, 0
6, 96x96, 310040, 0
6, 96x96, 333630, 0
6, 96x96, 258505, 0
6, 96x96, 259717, 0
6, 96x96, 259115, 0
6, 96x96, 258585, 0
6, 96x96, 308474, 0
6, 96x96, 266980, 0
6, 96x96, 258148, 0
6, 96x96, 275318, 0
6, 96x96, 265614, 0
6, 96x96, 258065, 0
6, 96x96, 299663, 0
6, 96x96, 363098, 0
6, 96x96, 259081, 0
6, 96x96, 305468, 0
6, 96x96, 258513, 0
6, 96x96, 259584, 0
6, 96x96, 273815, 0
6, 96x96, 258806, 0
6, 96x96, 257877, 0
6, 96x96, 258476, 0
6, 96x96, 258505, 0
6, 96x96, 258438, 0
6, 96x96, 303306, 0
6, 96x96, 258345, 0
6, 96x96, 265977, 0
6, 96x96, 266153, 0
6, 96x96, 259443, 0
6, 96x96, 300644, 0
6, 96x96, 303008, 0
6, 96x96, 303725, 0
6, 96x96, 298658, 0
6, 96x96, 260412, 0
6, 96x96, 264727, 0
6, 96x96, 258789, 0
6, 96x96, 268731, 0
6, 96x96, 268981, 0
6, 96x96, 300410, 0
6, 96x96, 258175, 0
6, 96x96, 258421, 0
6, 96x96, 298832, 0
6, 96x96, 264585, 0
6, 96x96, 258241, 0
6, 96x96, 258134, 0
7, 112x112, 352813, 0
7, 112x112, 345376, 0
7, 112x112, 344870, 0
7, 112x112, 386167, 0
7, 112x112, 387527, 0
7, 112x112, 357150, 0
7, 112x112, 393404, 0
7, 112x112, 352090, 0
7, 112x112, 343964, 0
7, 112x112, 355701, 0
7, 112x112, 346039, 0
7, 112x112, 344406, 0
7, 112x112, 345492, 0
7, 112x112, 345590, 0
7, 112x112, 345029, 0
7, 112x112, 395491, 0
7, 112x112, 343663, 0
7, 112x112, 385846, 0
7, 112x112, 345891, 0
7, 112x112, 459661, 0
7, 112x112, 345012, 0
7, 112x112, 344817, 0
7, 112x112, 348319, 0
7, 112x112, 346479, 0
7, 112x112, 343371, 0
7, 112x112, 354711, 0
7, 112x112, 356020, 0
7, 112x112, 344517, 0
7, 112x112, 510863, 0
7, 112x112, 398569, 0
7, 112x112, 388456, 0
7, 112x112, 351832, 0
7, 112x112, 352093, 0
7, 112x112, 355481, 0
7, 112x112, 352269, 0
7, 112x112, 386138, 0
7, 112x112, 344895, 0
7, 112x112, 344878, 0
7, 112x112, 352093, 0
7, 112x112, 351193, 0
7, 112x112, 389127, 0
7, 112x112, 352859, 0
7, 112x112, 344537, 0
7, 112x112, 344349, 0
7, 112x112, 352280, 0
7, 112x112, 345437, 0
7, 112x112, 352058, 0
7, 112x112, 345272, 0
7, 112x112, 344190, 0
7, 112x112, 345550, 0
7, 112x112, 354920, 0
